,Region,Condition,Rooms,Rent,Year_Construction,Space
469,Tiergarten,first_time_use,4.0,4184.0,2019,167.36
470,Mitte,mint_condition,3.0,1854.98,2017,90.92
471,Friedrichsfelde,well_kept,2.0,570.0,1998,54.02
472,Tiergarten,first_time_use,3.0,2293.31,2019,102.38
473,Charlottenburg,refurbished,1.0,1200.0,1975,30.0
474,Tiergarten,no_information,3.0,1502.0,1892,101.81
475,Tiergarten,no_information,2.0,1015.0,1892,70.88
476,Charlottenburg,refurbished,2.0,1400.0,1974,60.0
477,Tiergarten,no_information,2.0,825.0,1892,57.75
478,Mitte,first_time_use,2.0,1499.0,2020,61.26
479,Neukölln,first_time_use,3.0,2070.0,2019,105.35
480,Friedrichsfelde,modernized,2.0,876.0,1966,61.53
481,Charlottenburg,first_time_use_after_refurbishment,4.0,2320.0,1900,160.0
482,Wilmersdorf,well_kept,3.0,1700.0,1904,100.0
483,Friedrichsfelde,no_information,3.0,656.5,1930,61.83
484,Köpenick,first_time_use,1.0,886.05,2019,48.59
485,Köpenick,first_time_use,1.0,703.86,2019,42.45
486,Köpenick,first_time_use,3.0,1886.81,2019,120.29
487,Mitte,mint_condition,2.0,1500.0,2016,75.12
488,Prenzlauer,first_time_use_after_refurbishment,3.5,1660.0,1912,114.14
489,Köpenick,first_time_use,3.0,1690.0,2019,99.4
490,Charlottenburg,no_information,1.5,478.52,1965,47.76
491,Köpenick,well_kept,4.0,1600.0,2016,111.0
492,Mitte,mint_condition,4.0,2999.0,1900,145.0
493,Neukölln,well_kept,1.0,670.03,2000,49.67
494,Friedrichsfelde,modernized,2.0,860.0,1966,60.5
495,Kreuzberg,first_time_use,3.0,2269.0,2020,92.0
496,Köpenick,well_kept,2.0,948.1,1996,75.31
497,Köpenick,well_kept,2.0,873.0,1996,54.78
498,Tiergarten,first_time_use,3.0,2130.31,2019,95.96
499,Charlottenburg,first_time_use,2.0,969.0,2020,40.0
500,Kreuzberg,refurbished,1.0,1175.72,1910,33.95
501,Prenzlauer,no_information,2.0,1200.0,2010,67.0
502,Tiergarten,first_time_use,2.0,1834.0,1900,96.44
503,Kreuzberg,modernized,2.0,1349.58,2015,60.4
504,Tiergarten,first_time_use,2.0,1320.49,2019,64.73
505,Tiergarten,first_time_use,3.0,1886.3,2019,90.47
506,Neukölln,mint_condition,5.0,2295.0,2017,137.31
507,Mitte,first_time_use,3.0,1980.0,2019,83.73
508,Tiergarten,first_time_use,3.0,1846.23,2019,89.19
509,Mitte,first_time_use,2.0,1447.0,2020,64.0
510,Mitte,first_time_use,3.0,1770.0,2020,83.0
511,Charlottenburg,well_kept,3.0,1343.0,1965,84.48
512,Köpenick,modernized,2.0,750.0,1997,62.0
513,Köpenick,well_kept,1.0,730.36,2016,32.61
514,Neukölln,modernized,3.0,1281.5,1994,76.15
515,Neukölln,well_kept,2.0,976.5,1994,58.2
516,Neukölln,refurbished,2.0,984.5,1994,56.68
517,Köpenick,well_kept,1.0,719.56,2016,28.4
518,Mitte,no_information,2.0,2170.0,2006,83.65
519,Charlottenburg,fully_renovated,4.0,2170.0,1922,146.0
520,Kreuzberg,well_kept,1.0,995.0,2016,36.0
521,Wilmersdorf,mint_condition,2.0,1250.0,1905,67.0
522,Kreuzberg,well_kept,1.0,995.0,2016,36.0
523,Charlottenburg,well_kept,2.0,921.59,1969,67.24
524,Friedrichsfelde,first_time_use,3.0,1236.72,2020,72.18
525,Mitte,mint_condition,2.0,1090.0,2017,54.7
526,Prenzlauer,refurbished,3.0,2105.4,2019,87.4
527,Tiergarten,first_time_use,2.0,1497.45,2019,71.82
528,Neukölln,well_kept,1.0,829.0,1910,36.0
529,Friedrichsfelde,mint_condition,2.0,948.09,2019,43.1
530,Tiergarten,fully_renovated,2.0,1494.0,1998,66.77
531,Neukölln,well_kept,1.0,829.0,1910,36.0
532,Tiergarten,first_time_use,4.0,2475.98,2019,115.7
533,Tiergarten,first_time_use,3.0,2549.0,1900,143.13
534,Friedrichsfelde,modernized,4.0,1182.0,1979,91.11
535,Prenzlauer,mint_condition,2.0,1350.0,1900,35.0
536,Wilmersdorf,well_kept,5.0,3104.0,1900,174.63
537,Friedrichsfelde,first_time_use,2.0,1160.55,2020,61.31
538,Charlottenburg,fully_renovated,3.0,1285.0,1969,64.0
539,Tiergarten,first_time_use,3.0,1725.15,2019,82.15
540,Friedrichsfelde,no_information,3.0,575.45,1970,73.5
541,Friedrichsfelde,first_time_use,3.0,1709.33,2020,90.21
542,Friedrichsfelde,first_time_use,4.0,1535.3,2020,88.29
543,Mitte,no_information,3.0,1356.44,2016,75.5
544,Neukölln,no_information,1.0,521.09,1977,48.72
545,Mitte,first_time_use,3.0,1890.0,2019,75.65
546,Friedrichsfelde,first_time_use,2.0,1277.21,2020,65.96
547,Tiergarten,first_time_use,3.0,1939.2,2019,87.43
548,Kreuzberg,first_time_use,4.0,2645.9,2019,131.05
549,Kreuzberg,first_time_use,4.0,2630.39,2019,126.4
550,Friedrichsfelde,first_time_use,2.0,813.4,2020,48.99
551,Neukölln,first_time_use,3.0,1906.14,1917,112.99
552,Friedrichsfelde,well_kept,3.0,960.0,1985,77.96
553,Kreuzberg,mint_condition,3.0,2039.0,1900,110.0
554,Neukölln,first_time_use,3.0,2265.47,1917,133.42
555,Prenzlauer,well_kept,3.0,1184.0,1999,74.31
556,Tiergarten,mint_condition,4.0,2700.0,2019,119.0
557,Prenzlauer,first_time_use_after_refurbishment,2.0,1639.52,1900,79.0
558,Neukölln,first_time_use,1.0,891.65,1917,51.72
559,Prenzlauer,well_kept,2.0,1489.0,1901,73.41
560,Tiergarten,fully_renovated,4.0,4800.0,1885,240.0
561,Mitte,no_information,3.0,1455.61,2016,79.44
562,Mitte,first_time_use,3.0,2550.0,2020,116.0
563,Neukölln,first_time_use,3.0,1565.56,1917,88.3
564,Mitte,mint_condition,5.0,2865.49,2017,123.08
565,Mitte,first_time_use,3.0,2014.21,2018,76.22
566,Neukölln,first_time_use,3.0,1760.37,1917,100.65
567,Mitte,first_time_use,2.0,1191.35,2017,52.48
568,Tiergarten,first_time_use,3.0,2280.0,2018,73.0
569,Mitte,first_time_use,4.0,4450.0,2013,152.7
570,Wilmersdorf,first_time_use,3.0,1558.0,2014,76.0
571,Friedrichsfelde,mint_condition,2.0,1174.25,2019,46.97
572,Mitte,no_information,3.0,1519.0,1900,95.9
573,Mitte,mint_condition,2.0,1650.0,1998,67.55
574,Tiergarten,first_time_use,4.0,2499.59,2019,122.83
575,Tiergarten,first_time_use,3.0,1997.37,2019,95.34
576,Neukölln,first_time_use,2.0,1095.0,2020,66.0
577,Tiergarten,first_time_use,3.0,2073.32,2019,99.44
578,Mitte,refurbished,3.0,1783.08,1915,68.58
579,Tiergarten,first_time_use,2.0,1358.64,2019,66.6
580,Tiergarten,first_time_use,2.0,1834.0,1900,100.93
581,Tiergarten,first_time_use,2.0,1327.99,2019,64.78
582,Tiergarten,fully_renovated,1.0,1163.0,1990,52.85
583,Prenzlauer,mint_condition,5.0,2575.0,2019,150.0
584,Tiergarten,first_time_use,2.0,1356.04,2019,66.31
585,Tiergarten,no_information,3.0,2427.0,1990,108.13
586,Wedding,no_information,2.0,1202.0,1969,57.4
587,Tiergarten,fully_renovated,3.0,2555.0,1998,125.49
588,Mitte,mint_condition,1.0,1250.06,2015,52.24
589,Wilmersdorf,first_time_use,2.5,1529.0,2018,71.0
590,Mitte,refurbished,3.0,5936.4,2018,131.92
591,Mitte,refurbished,3.0,5936.4,2018,131.92
592,Mitte,refurbished,3.0,4747.6,2018,110.41
593,Charlottenburg,first_time_use,2.0,1800.0,2019,85.0
594,Mitte,refurbished,3.0,4747.6,2018,110.41
595,Charlottenburg,mint_condition,3.0,2650.0,2010,123.0
596,Mitte,refurbished,3.0,4747.6,2018,110.41
597,Friedrichsfelde,first_time_use,4.0,2138.68,2020,118.44
598,Friedrichsfelde,first_time_use,2.0,1189.09,2020,57.96
599,Friedrichsfelde,first_time_use,2.0,929.34,2020,50.65
600,Tiergarten,first_time_use,3.0,1960.8,2019,98.04
601,Kreuzberg,mint_condition,3.0,2150.0,2010,95.8
602,Neukölln,no_information,3.0,1124.0,2019,65.79
603,Friedrichsfelde,first_time_use,2.0,896.46,2020,50.2
604,Friedrichsfelde,first_time_use,4.0,2033.1,2020,113.06
605,Wedding,no_information,2.0,1031.0,1969,48.99
606,Tiergarten,first_time_use,3.0,2039.3,2019,91.04
607,Mitte,mint_condition,1.0,398.0,2017,18.0
608,Mitte,well_kept,3.0,1800.0,2013,80.95
609,Tiergarten,first_time_use,3.0,2075.12,2019,100.49
610,Tiergarten,first_time_use,3.0,2067.77,2019,98.7
611,Tiergarten,first_time_use,2.0,1347.51,2019,66.38
612,Charlottenburg,well_kept,3.0,2162.0,1984,107.0
613,Tiergarten,first_time_use,3.0,2041.0,2019,96.73
614,Friedrichsfelde,first_time_use,2.0,1320.73,2020,68.17
615,Wilmersdorf,mint_condition,3.0,1700.0,2016,84.0
616,Friedrichsfelde,first_time_use,3.5,1429.1,2020,82.05
617,Tiergarten,first_time_use,3.0,2007.02,2019,96.26
618,Friedrichsfelde,first_time_use,2.0,868.06,2020,49.19
619,Tiergarten,first_time_use,2.0,1326.61,2019,65.35
620,Tiergarten,first_time_use,3.0,2020.99,2019,96.93
621,Tiergarten,first_time_use,3.0,2031.52,2019,96.97
622,Tiergarten,first_time_use,3.0,2508.24,2019,119.44
623,Kreuzberg,first_time_use_after_refurbishment,4.0,2125.0,1902,130.0
624,Wilmersdorf,first_time_use,2.0,1410.0,1966,47.0
